id,name_ar,name_en,nationality,why,titles
grim,"بوبي غريم","Bobby Grim","أمريكي","صورة فريق",0
niemann,"براوش نيمان","Brausch Niemann","جنوب أفريقي","صورة فريق",0
mcguire,"براين مكغواير","Brian McGuire","أسترالي","صورة فريق",0
shawe_taylor,"براين شو تايلور","Brian Shawe Taylor","بريطاني","صورة فريق",0
halford,"بروس هالفورد","Bruce Halford","بريطاني","صورة فريق",0
kessler,"بروس كيسلر","Bruce Kessler","أمريكي","صورة فريق",0
tingelstad,"بَد تينغلستاد","Bud Tingelstad","أمريكي","صورة فريق",0
niday,"كال نايدي","Cal Niday","أمريكي","صورة فريق",0
scarborough,"كارل سكاربورو","Carl Scarborough","أمريكي","صورة فريق",0
perdisa,"تشيزاري برديزا","Cesare Perdisa","إيطالي","صورة فريق",0
tornaco,"شارل دي تورناكو","Charles de Tornaco","بلجيكي","صورة فريق",0
pozzi,"شارل بوزي","Charles Pozzi","فرنسي","صورة فريق",0
landi,"شيكو لاندي","Chico Landi","برازيلي","صورة فريق",0
bristow,"كريس بريستو","Chris Bristow","بريطاني","صورة فريق",0
goethals,"كريستيان غوتالس","Christian Goethals","بلجيكي","صورة فريق",0
weyant,"تشاك وايانت","Chuck Weyant","أمريكي","صورة فريق",0
charlton,"ديف تشارلتون","Dave Charlton","جنوب أفريقي","صورة فريق",0
clapham,"ديفيد كلافام","David Clapham","جنوب أفريقي","صورة فريق",0
prophet,"ديفيد بروفيت","David Prophet","بريطاني","صورة فريق",0
dempsey_wilson,"ديمبسي ويلسون","Dempsey Wilson","أمريكي","صورة فريق",0
poore,"دينيس بور","Dennis Poore","بريطاني","صورة فريق",0
titterington,"ديزموند تيترينغتون","Desmond Titterington","بريطاني","صورة فريق",0
dino_beganovic,"دينو بيغانوفيتش","Dino Beganovic","","صورة فريق",0
beauman,"دون بومان","Don Beauman","بريطاني","صورة فريق",0
branson,"دون برانسون","Don Branson","أمريكي","صورة فريق",0
edmunds,"دون إدموندز","Don Edmunds","أمريكي","صورة فريق",0
serrurier,"دوغ سيروريي","Doug Serrurier","جنوب أفريقي","صورة فريق",0
dinsmore,"ديوك دينسمور","Duke Dinsmore","أمريكي","صورة فريق",0
elisian,"إد إليزيان","Ed Elisian","أمريكي","صورة فريق",0
cantoni,"إيتيل كانتوني","Eitel Cantoni","أوروغوياني","صورة فريق",0
zapico,"إميليو ثابيكو","Emilio Zapico","إسباني","صورة فريق",0
wietzes,"إيبي فيتزس","Eppie Wietzes","كندي","صورة فريق",0
brandon,"إريك براندون","Eric Brandon","بريطاني","صورة فريق",0
prinoth,"إرنستو برينوت","Ernesto Prinoth","إيطالي","صورة فريق",0
vos,"إرني دي فوس","Ernie de Vos","هولندي","صورة فريق",0
pieterse,"إرني بيترسي","Ernie Pieterse","جنوب أفريقي","صورة فريق",0
bauer,"إروين باور","Erwin Bauer","ألماني","صورة فريق",0
chimeri,"إيتوري كيميري","Ettore Chimeri","فنزويلي","صورة فريق",0
comotti,"فرانكو كوموتي","Franco Comotti","إيطالي","صورة فريق",0
forini,"فرانكو فوريني","Franco Forini","سويسري","صورة فريق",0
rol,"فرانكو رول","Franco Rol","إيطالي","صورة فريق",0
hesnault,"فرانسوا إينو","François Hesnault","فرنسي","صورة فريق",0
mazet,"فرانسوا مازيه","François Mazet","فرنسي","صورة فريق",0
migault,"فرانسوا ميغو","François Migault","فرنسي","صورة فريق",0
armi,"فرانك آرمي","Frank Armi","أمريكي","صورة فريق",0
dochnal,"فرانك دوكنال","Frank Dochnal","أمريكي","صورة فريق",0
gary_brabham,"غاري برابهام","Gary Brabham","أسترالي","صورة فريق",0
force,"جين فورس","Gene Force","أمريكي","صورة فريق",0
hartley,"جين هارتلي","Gene Hartley","أمريكي","صورة فريق",0
fonder,"جورج فوندر","George Fonder","أمريكي","صورة فريق",0
grignard,"جورج غرينيار","Georges Grignard","فرنسي","صورة فريق",0
gerini,"جيرينو جيريني","Gerino Gerini","إيطالي","صورة فريق",0
ashmore,"جيري آشمور","Gerry Ashmore","بريطاني","صورة فريق",0
munaron,"جينو موناروني","Gino Munaron","إيطالي","صورة فريق",0
bassi,"جورجو باسي","Giorgio Bassi","إيطالي","صورة فريق",0
francia,"جورجو فرانشا","Giorgio Francia","إيطالي","صورة فريق",0
amati,"جيوفانا أماتي","Giovanna Amati","إيطالي","صورة فريق",0
riu,"جيوفاني دي ريو","Giovanni de Riu","إيطالي","صورة فريق",0
graham_whitehead,"غراهام وايتهيد","Graham Whitehead","بريطاني","صورة فريق",0
foitek,"غريغور فويتك","Gregor Foitek","سويسري","صورة فريق",0
seiffert,"غونتر زايفرت","Günther Seiffert","ألماني","صورة فريق",0
hutchison,"غَس هاتشيسون","Gus Hutchison","أمريكي","صورة فريق",0
tunmer,"غاي تنمر","Guy Tunmer","جنوب أفريقي","صورة فريق",0
blanchard,"هاري بلانشارد","Harry Blanchard","أمريكي","صورة فريق",0
niedermayr,"هيلموت نيدرماير","Helmut Niedermayr","ألماني","صورة فريق",0
koinigg,"هيلموت كوينيغ","Helmuth Koinigg","نمساوي","صورة فريق",0
louveau,"هنري لوفو","Henri Louveau","فرنسي","صورة فريق",0
mackay-fraser,"هربرت ماكاي-فريزر","Herbert MacKay-Fraser","أمريكي","صورة فريق",0
ramos,"إرناندو دا سيلفا راموس","Hernando da Silva Ramos","برازيلي","صورة فريق",0
fushida,"هيروشي فوشيدا","Hiroshi Fushida","ياباني","صورة فريق",0
raby,"إيان رابي","Ian Raby","بريطاني","صورة فريق",0
bueb,"آيفور بيوب","Ivor Bueb","بريطاني","صورة فريق",0
nelleman,"ياك نيلمان","Jac Nelleman","دنماركي","صورة فريق",0
holmes,"جاكي هولمز","Jackie Holmes","أمريكي","صورة فريق",0
pretorius,"جاكي بريتوريوس","Jackie Pretorius","جنوب أفريقي","صورة فريق",0
pollet,"جاك بوليه","Jacques Pollet","فرنسي","صورة فريق",0
chamberlain,"جاي تشامبرلين","Jay Chamberlain","أمريكي","صورة فريق",0
hoyt,"جيري هويت","Jerry Hoyt","أمريكي","صورة فريق",0
mcwithey,"جيم مكويذي","Jim McWithey","أمريكي","صورة فريق",0
rigsby,"جيم ريغسبي","Jim Rigsby","أمريكي","صورة فريق",0
reece,"جيمي ريس","Jimmy Reece","أمريكي","صورة فريق",0
gartner,"يو غارتنر","Jo Gartner","نمساوي","صورة فريق",0
jo_schlesser,"جو شليسر","Jo Schlesser","فرنسي","صورة فريق",0
vonlanthen,"جو فونلانتن","Jo Vonlanthen","سويسري","صورة فريق",0
fry,"جو فراي","Joe Fry","بريطاني","صورة فريق",0
campbell-jones,"جون كامبل-جونز","John Campbell-Jones","بريطاني","صورة فريق",0
riseley_prichard,"جون رايزلي-بريتشارد","John Riseley-Prichard","بريطاني","صورة فريق",0
boyd,"جوني بويد","Johnny Boyd","أمريكي","صورة فريق",0
claes,"جوني كلايس","Johnny Claes","بلجيكي","صورة فريق",0
thomson,"جوني تومسون","Johnny Thomson","أمريكي","صورة فريق",0
daponte,"خورخي دابونتي","Jorge Daponte","أرجنتيني","صورة فريق",0
jover,"خوان خوفير","Juan Jover","إسباني","صورة فريق",0
larson,"جَد لارسون","Jud Larson","أمريكي","صورة فريق",0
greene,"كيث غرين","Keith Greene","بريطاني","صورة فريق",0
mcalpine,"كينيث مكألبين","Kenneth McAlpine","بريطاني","صورة فريق",0
adolff,"كورت أدولف","Kurt Adolff","ألماني","صورة فريق",0
macklin,"لانس ماكلين","Lance Macklin","بريطاني","صورة فريق",0
crockett,"لاري كروكيت","Larry Crockett","أمريكي","صورة فريق",0
duncan,"لين دنكان","Len Duncan","أمريكي","صورة فريق",0
sutton,"لين ساتون","Len Sutton","أمريكي","صورة فريق",0
leston,"ليس ليستون","Les Leston","بريطاني","صورة فريق",0
thorne,"ليزلي ثورن","Leslie Thorne","بريطاني","صورة فريق",0
piotti,"لويجي بيوتي","Luigi Piotti","إيطالي","صورة فريق",0
sala,"لويس بيريز-سالا","Luis Pérez-Sala","إسباني","صورة فريق",0
botha,"لوكي بوتا","Luki Botha","جنوب أفريقي","صورة فريق",0
balsa,"مارسيل بالسا","Marcel Balsa","فرنسي","صورة فريق",0
cabral,"ماريو دي أراوجو كابرال","Mário de Araújo Cabral","برتغالي","صورة فريق",0
natili,"ماسيمو ناتيلي","Massimo Natili","إيطالي","صورة فريق",0
terra,"ماكس دي تيرا","Max de Terra","سويسري","صورة فريق",0
boffa,"ميناتو بوفا","Menato Boffa","إيطالي","صورة فريق",0
may,"مايكل ماي","Michael May","سويسري","صورة فريق",0
macdowel,"مايك مكداول","Mike MacDowel","بريطاني","صورة فريق",0
magill,"مايك ماغيل","Mike Magill","أمريكي","صورة فريق",0
nazaruk,"مايك نازاروك","Mike Nazaruk","أمريكي","صورة فريق",0
kozarowitzky,"ميكو كوزاروفيتسكي","Mikko Kozarowitzky","فنلندي","صورة فريق",0
lederle,"نيفيل ليدرلي","Neville Lederle","جنوب أفريقي","صورة فريق",0
fontana,"نوربرتو فونتانا","Norberto Fontana","أرجنتيني","صورة فريق",0
takahara,"نوريتاكي تاكاهارا","Noritake Takahara","ياباني","صورة فريق",0
karch,"أوسفالد كارش","Oswald Karch","ألماني","صورة فريق",0
volonterio,"أوتورينو فولونتيريو","Ottorino Volonterio","سويسري","صورة فريق",0
godia,"باكو غوديا","Paco Godia","إسباني","صورة فريق",0
driver,"بادي درايفر","Paddy Driver","جنوب أفريقي","صورة فريق",0
barilla,"باولو باريلا","Paolo Barilla","إيطالي","صورة فريق",0
connor,"بات أوكونور","Pat O'Connor","أمريكي","صورة فريق",0
gaillard,"باتريك غاييار","Patrick Gaillard","فرنسي","صورة فريق",0
neve,"باتريك نيف","Patrick Nève","بلجيكي","صورة فريق",0
emery,"بول إيمري","Paul Emery","بريطاني","صورة فريق",0
england,"بول إنغلاند","Paul England","أسترالي","صورة فريق",0
lovely,"بيت لوفلي","Pete Lovely","أمريكي","صورة فريق",0
broeker,"بيتر بروكر","Peter Broeker","كندي","صورة فريق",0
klerk,"بيتر دي كليرك","Peter de Klerk","جنوب أفريقي","صورة فريق",0
hirt,"بيتر هيرت","Peter Hirt","سويسري","صورة فريق",0
cade,"فيل كيد","Phil Cade","أمريكي","صورة فريق",0
parker,"فيليب فوذرينغهام-باركر","Philip Fotheringham-Parker","بريطاني","صورة فريق",0
amick,"ريد أميك","Red Amick","أمريكي","صورة فريق",0
robarts,"ريتشارد روبارتس","Richard Robarts","بريطاني","صورة فريق",0
opel,"ريكي فون أوبل","Rikky von Opel","ليختنشتايني","صورة فريق",0
schroeder,"روب شرودر","Rob Schroeder","بريطاني","صورة فريق",0
la_caze,"روبير لا كاز","Robert La Caze","فرنسي","صورة فريق",0
manzon,"روبير مانزون","Robert Manzon","فرنسي","صورة فريق",0
charrington,"روبن مونتغمري-تشارينغتون","Robin Montgomerie-Charrington","بريطاني","صورة فريق",0
nuckey,"رودني نَكي","Rodney Nuckey","بريطاني","صورة فريق",0
flockhart,"رون فلوكهارت","Ron Flockhart","بريطاني","صورة فريق",0
krause,"رودولف كراوزه","Rudolf Krause","ألماني شرقي","صورة فريق",0
templeman,"شورتي تمبلمان","Shorty Templeman","أمريكي","صورة فريق",0
lewis-evans,"ستيوارت لويس-إيفانز","Stuart Lewis-Evans","بريطاني","صورة فريق",0
vyver,"سيد فان دير فايفر","Syd van der Vyver","جنوب أفريقي","صورة فريق",0
fitzau,"تيو فيتساو","Theo Fitzau","ألماني شرقي","صورة فريق",0
monarch,"توماس مونارك","Thomas Monarch","أمريكي","صورة فريق",0
parnell,"تيم بارنيل","Tim Parnell","بريطاني","صورة فريق",0
mayer,"تيمي ماير","Timmy Mayer","أمريكي","صورة فريق",0
bridger,"توم بريدجر","Tom Bridger","بريطاني","صورة فريق",0
ulmen,"توني أولمن","Toni Ulmen","ألماني","صورة فريق",0
gaze,"توني غيز","Tony Gaze","أسترالي","صورة فريق",0
marsh,"توني مارش","Tony Marsh","بريطاني","صورة فريق",0
settember,"توني سيتمبر","Tony Settember","أمريكي","صورة فريق",0
shelly,"توني شيلي","Tony Shelly","نيوزيلندي","صورة فريق",0
webb,"ترافيس ويب","Travis Webb","أمريكي","صورة فريق",0
blokdyk,"تريفور بلوكدايك","Trevor Blokdyk","جنوب أفريقي","صورة فريق",0
vic_wilson,"فيك ويلسون","Vic Wilson","بريطاني","صورة فريق",0
ader,"والت أدير","Walt Ader","أمريكي","صورة فريق",0
hansgen,"والت هانسغن","Walt Hansgen","أمريكي","صورة فريق",0
brown,"وارويك براون","Warwick Brown","أسترالي","صورة فريق",0
weiler,"واين وايلر","Wayne Weiler","أمريكي","صورة فريق",0
heeks,"فيلي هيكس","Willi Heeks","ألماني","صورة فريق",0
